cohort	patient	gene	cell_state	n_cells	pct_positive
GSE152048	BC2	CCL13	Myeloid	2228	5.6104129263913824
GSE152048	BC2	ACKR4	Osteoclast	145	0.0
GSE152048	BC3	CCL13	Myeloid	1047	0.0
GSE152048	BC3	ACKR4	Osteoclast	100	0.0
GSE152048	BC5	CCL13	Myeloid	1732	0.17321016166281755
GSE152048	BC5	ACKR4	Osteoclast	32	0.0
GSE152048	BC6	CCL13	Myeloid	24	0.0
GSE152048	BC6	ACKR4	Osteoclast	27	0.0
GSE152048	BC10	CCL13	Myeloid	2545	0.19646365422396855
GSE152048	BC10	ACKR4	Osteoclast	3	0.0
GSE152048	BC11	CCL13	Myeloid	29	0.0
GSE152048	BC11	ACKR4	Osteoclast	35	0.0
GSE152048	BC16	CCL13	Myeloid	202	0.0
GSE152048	BC16	ACKR4	Osteoclast	167	0.0
GSE152048	BC17	CCL13	Myeloid	9	0.0
GSE152048	BC17	ACKR4	Osteoclast	15	0.0
GSE152048	BC20	CCL13	Myeloid	364	0.0
GSE152048	BC20	ACKR4	Osteoclast	47	0.0
GSE152048	BC21	CCL13	Myeloid	49	2.0408163265306123
GSE152048	BC21	ACKR4	Osteoclast	615	0.0
GSE152048	BC22	CCL13	Myeloid	44	4.545454545454546
GSE152048	BC22	ACKR4	Osteoclast	354	0.2824858757062147
GSE162454	OS_1	CCL13	Myeloid	1693	1.831069108092144
GSE162454	OS_1	ACKR4	Osteoclast	282	19.50354609929078
GSE162454	OS_2	CCL13	Myeloid	1072	10.914179104477611
GSE162454	OS_2	ACKR4	Osteoclast	267	3.3707865168539324
GSE162454	OS_3	CCL13	Myeloid	201	0.9950248756218906
GSE162454	OS_3	ACKR4	Osteoclast	172	0.0
GSE162454	OS_4	CCL13	Myeloid	1228	2.2801302931596092
GSE162454	OS_4	ACKR4	Osteoclast	165	6.666666666666667
GSE162454	OS_5	CCL13	Myeloid	2083	5.376860297647624
GSE162454	OS_5	ACKR4	Osteoclast	82	10.975609756097562
GSE162454	OS_6	CCL13	Myeloid	471	3.397027600849257
GSE162454	OS_6	ACKR4	Osteoclast	14	14.285714285714285
