endpoint	model	term	n	events	beta	effect	ci_low	ci_high	p	aic	log_likelihood	df_model	bootstrap_replicates	bootstrap_valid	bootstrap_or_median	bootstrap_ci_low	bootstrap_ci_high
metastasis	Mean z score clinical	pair_mean_z	87	22	0.6842491005492299	1.982282781490302	1.0386613752577256	3.7831820065687003	0.03798694265713573	99.04540244267164	-45.52270122133582	3.0					
metastasis	Mean z score plus lineages	pair_mean_z	87	22	0.8391010226633854	2.3142855510831253	1.1462807637936103	4.672430857364075	0.019241579176909954	99.03140196584636	-43.51570098292318	5.0	2000.0	2000.0	2.462483040730845	1.1820687964582	8.23623632793945
metastasis	Minimum z score plus lineages	pair_min_z	87	22	0.9597070501501785	2.6109314893898987	1.0285100790287987	6.627998481769742	0.043476142748979665	98.62027935895492	-43.31013967947746	5.0					
metastasis	Rank product plus lineages	pair_rank_product_z	87	22	0.9605527541503431	2.613140498546912	1.3520406114363746	5.0505163878853985	0.00427535639135805	96.36521725237901	-42.182608626189506	5.0					
metastasis	CCL13 plus lineages	CCL13_z	87	22	0.4935603620212541	1.6381382146859966	0.9759871225520642	2.7495207143693356	0.06176573664277989	102.64830483996766	-45.32415241998383	5.0					
metastasis	ACKR4 plus lineages	ACKR4_z	87	22	0.8547483057330673	2.3507826275974386	1.1418208680265378	4.839795029990186	0.02034476828880842	99.32103101098126	-43.66051550549063	5.0					
metastasis	Separate genes plus lineages	ACKR4_z	87	22	0.767965943557382	2.155377632186991	0.9882974636974137	4.700662409829228	0.05356041776042944	100.27897774438628	-43.13948887219314	6.0					
metastasis	Interaction plus lineages	CCL13_z:ACKR4_z	87	22	0.12566781869976162	1.1339054435314506	0.5971178432317679	2.1532459119149157	0.7009300327423192	102.09161191375333	-43.04580595687666	7.0					
metastasis	Separate genes plus lineages	CCL13_z	87	22	0.3090531827002171	1.362134810584412	0.7585993991797942	2.445838006478679	0.30073931028146184	100.27897774438628	-43.13948887219314	6.0					
overall_survival	OS mean z clinical	pair_mean_z	84	29	-0.6189871177147571	0.5384895880259591	0.27193058623524163	1.0663421148274919	0.0757832583143622								
overall_survival	OS mean z plus lineages	pair_mean_z	84	29	-0.504604233290783	0.6037444701127851	0.3112397347777069	1.171146690033345	0.13553089365823817								
