cohort	context	gene	target_state	metric	patients	patients_target_above_all_alternatives	median_delta	mean_delta	exact_signflip_p
GSE152048	lung_metastasis	ACKR4	Osteoclast	mean_log1p_cp10k	2	2	0.018903400905253345	0.018903400905253345	0.5
GSE152048	lung_metastasis	ACKR4	Osteoclast	pct_positive	2	2	3.2757145962224534	3.2757145962224534	0.5
GSE152048	lung_metastasis	CCL13	Myeloid	mean_log1p_cp10k	2	2	0.041972380505714	0.041972380505714	0.5
GSE152048	lung_metastasis	CCL13	Myeloid	pct_positive	2	2	2.617459877035407	2.617459877035407	0.5
GSE152048	primary	ACKR4	Osteoclast	mean_log1p_cp10k	6	2	-0.00028568696337835	-0.008859899066286018	0.6875
GSE152048	primary	ACKR4	Osteoclast	pct_positive	6	3	0.01576753531602801	-0.2808248016012404	0.75
GSE152048	primary	CCL13	Myeloid	mean_log1p_cp10k	7	5	0.0196068511796838	0.02231419782358054	0.3125
GSE152048	primary	CCL13	Myeloid	pct_positive	7	5	2.2510575133974946	1.5325246095972578	0.203125
GSE152048	recurrence	CCL13	Myeloid	mean_log1p_cp10k	2	2	0.006076732070425451	0.006076732070425451	0.5
GSE152048	recurrence	CCL13	Myeloid	pct_positive	2	1	-0.2836540161610528	-0.2836540161610528	1.0
GSE162454	primary	ACKR4	Osteoclast	mean_log1p_cp10k	6	3	-0.0115948641726402	-0.005651877660844365	0.84375
GSE162454	primary	ACKR4	Osteoclast	pct_positive	6	3	-0.5147688914142536	0.8033187257854187	0.90625
GSE162454	primary	CCL13	Myeloid	mean_log1p_cp10k	6	5	0.017526988018588	0.012575797917331051	0.53125
GSE162454	primary	CCL13	Myeloid	pct_positive	6	5	0.9649804760492331	0.6716403987686893	0.46875
GSE270231	lung_metastasis	ACKR4	Osteoclast	mean_log1p_cp10k	2	0	-0.01206279642906205	-0.01206279642906205	0.5
GSE270231	lung_metastasis	ACKR4	Osteoclast	pct_positive	2	0	-0.7854155628952426	-0.7854155628952426	0.5
GSE270231	lung_metastasis	CCL13	Myeloid	mean_log1p_cp10k	4	2	0.00065344272036695	0.0011494935912660749	0.5
GSE270231	lung_metastasis	CCL13	Myeloid	pct_positive	4	2	0.0326441784548422	0.03565076564446212	0.75
Combined_primary	primary	ACKR4	Osteoclast	mean_log1p_cp10k	12	5	-0.00028568696337835	-0.007255888363565194	0.6240234375
Combined_primary	primary	ACKR4	Osteoclast	pct_positive	12	6	0.01576753531602801	0.2612469620920891	0.9111328125
Combined_primary	primary	CCL13	Myeloid	mean_log1p_cp10k	13	10	0.0196068511796838	0.017819551713003853	0.21875
Combined_primary	primary	CCL13	Myeloid	pct_positive	13	10	1.241232927279436	1.1351934353686874	0.12548828125
