cohort	patient	context	gene	state	n_cells	positive_cells	pct_positive	mean_log1p_cp10k
GSE152048	BC16	primary	CCL13	Tumor_mesenchymal	2	0	0.0	0.0
GSE152048	BC16	primary	ACKR4	Tumor_mesenchymal	2	0	0.0	0.0
GSE152048	BC2	primary	CCL13	Tumor_mesenchymal	1	0	0.0	0.0
GSE152048	BC2	primary	ACKR4	Tumor_mesenchymal	1	0	0.0	0.0
GSE152048	BC20	recurrence	CCL13	Tumor_mesenchymal	6969	1	0.0143492610130578	4.21297559750084e-05
GSE152048	BC20	recurrence	ACKR4	Tumor_mesenchymal	6969	10	0.143492610130578	0.0008280957139641
GSE152048	BC21	primary	CCL13	Tumor_mesenchymal	1	0	0.0	0.0
GSE152048	BC21	primary	ACKR4	Tumor_mesenchymal	1	0	0.0	0.0
GSE152048	BC22	primary	CCL13	Tumor_mesenchymal	32	0	0.0	0.0
GSE152048	BC22	primary	ACKR4	Tumor_mesenchymal	32	0	0.0	0.0
GSE152048	BC3	primary	CCL13	Tumor_mesenchymal	3	0	0.0	0.0
GSE152048	BC3	primary	ACKR4	Tumor_mesenchymal	3	0	0.0	0.0
GSE152048	BC5	primary	CCL13	Tumor_mesenchymal	2	0	0.0	0.0
GSE152048	BC5	primary	ACKR4	Tumor_mesenchymal	2	0	0.0	0.0
GSE152048	BC6	primary	CCL13	Tumor_mesenchymal	1	0	0.0	0.0
GSE152048	BC6	primary	ACKR4	Tumor_mesenchymal	1	0	0.0	0.0
GSE152048	BC10	lung_metastasis	CCL13	Endothelial	325	0	0.0	0.0
GSE152048	BC10	lung_metastasis	ACKR4	Endothelial	325	6	1.84615384615385	0.0284385714876681
GSE152048	BC11	recurrence	CCL13	Endothelial	38	0	0.0	0.0
GSE152048	BC11	recurrence	ACKR4	Endothelial	38	0	0.0	0.0
GSE152048	BC16	primary	CCL13	Endothelial	391	1	0.255754475703325	0.0022255316410726
GSE152048	BC16	primary	ACKR4	Endothelial	391	0	0.0	0.0
GSE152048	BC17	lung_metastasis	CCL13	Endothelial	76	0	0.0	0.0
GSE152048	BC17	lung_metastasis	ACKR4	Endothelial	76	0	0.0	0.0
GSE152048	BC2	primary	CCL13	Endothelial	582	5	0.859106529209622	0.0172416463020516
GSE152048	BC2	primary	ACKR4	Endothelial	582	0	0.0	0.0
GSE152048	BC20	recurrence	CCL13	Endothelial	17	0	0.0	0.0
GSE152048	BC20	recurrence	ACKR4	Endothelial	17	0	0.0	0.0
GSE152048	BC21	primary	CCL13	Endothelial	390	1	0.256410256410256	0.0071627138077106
GSE152048	BC21	primary	ACKR4	Endothelial	390	5	1.28205128205128	0.0176538985814155
GSE152048	BC22	primary	CCL13	Endothelial	401	0	0.0	0.0
GSE152048	BC22	primary	ACKR4	Endothelial	401	4	0.997506234413965	0.0105055339455926
GSE152048	BC3	primary	CCL13	Endothelial	152	0	0.0	0.0
GSE152048	BC3	primary	ACKR4	Endothelial	152	0	0.0	0.0
GSE152048	BC5	primary	CCL13	Endothelial	1041	1	0.0960614793467819	0.0016028895112081
GSE152048	BC5	primary	ACKR4	Endothelial	1041	4	0.384245917387128	0.0061688803342918
GSE152048	BC6	primary	CCL13	Endothelial	561	2	0.35650623885918	0.0079498856133772
GSE152048	BC6	primary	ACKR4	Endothelial	561	0	0.0	0.0
GSE152048	BC10	lung_metastasis	CCL13	Fibroblast_MSC	13169	50	0.379679550459412	0.0057932396611243
GSE152048	BC10	lung_metastasis	ACKR4	Fibroblast_MSC	13169	39	0.296150049358342	0.0032387883221156
GSE152048	BC11	recurrence	CCL13	Fibroblast_MSC	48	1	2.08333333333333	0.0359336450251401
GSE152048	BC11	recurrence	ACKR4	Fibroblast_MSC	48	2	4.16666666666667	0.0343311764597377
GSE152048	BC16	primary	CCL13	Fibroblast_MSC	523	0	0.0	0.0
GSE152048	BC16	primary	ACKR4	Fibroblast_MSC	523	2	0.382409177820268	0.0029137253601528
GSE152048	BC17	lung_metastasis	CCL13	Fibroblast_MSC	3215	24	0.746500777604977	0.0056048453561305
GSE152048	BC17	lung_metastasis	ACKR4	Fibroblast_MSC	3215	12	0.373250388802488	0.00189159083565
GSE152048	BC2	primary	CCL13	Fibroblast_MSC	167	1	0.598802395209581	0.0143804765970092
GSE152048	BC2	primary	ACKR4	Fibroblast_MSC	167	0	0.0	0.0
GSE152048	BC20	recurrence	CCL13	Fibroblast_MSC	1023	4	0.391006842619746	0.0025332979406454
GSE152048	BC20	recurrence	ACKR4	Fibroblast_MSC	1023	16	1.56402737047898	0.0121002429246461
GSE152048	BC21	primary	CCL13	Fibroblast_MSC	1076	4	0.371747211895911	0.0060904379685881
GSE152048	BC21	primary	ACKR4	Fibroblast_MSC	1076	5	0.464684014869888	0.0059222048963867
GSE152048	BC22	primary	CCL13	Fibroblast_MSC	4904	81	1.65171288743883	0.0207722652866205
GSE152048	BC22	primary	ACKR4	Fibroblast_MSC	4904	126	2.56933115823817	0.0208148679781549
