cohort	section	gene	expected_state	n_spots	positive_spots	pct_positive	signature_genes_detected	positive_spot_mean_signature	matched_null_mean	depth_matched_difference	standardized_difference	empirical_two_sided_p	bh_fdr_within_gene
GSE293065	PT1	CCL13	Myeloid	829	0	0.0	15						
GSE293065	PT1	ACKR4	Osteoclast	829	0	0.0	13						
GSE293065	PT2	CCL13	Myeloid	712	3	0.42134831460674155	15	0.43476242070674664	0.26827147398303763	0.166490946723709	1.563475039733998	0.11164441777911105	0.1488592237054814
GSE293065	PT2	ACKR4	Osteoclast	712	0	0.0	13						
GSE293065	PT3	CCL13	Myeloid	1190	30	2.5210084033613445	15	1.111697164765761	0.951802211998939	0.15989495276682197	2.2410290542974347	0.02454877256137193	0.04999750012499375
GSE293065	PT3	ACKR4	Osteoclast	1190	1	0.08403361344537816	13	1.9607996208036005	1.908966995574806	0.05183262522879439	0.06152332381001947	0.9654517274136293	0.9654517274136293
GSE293065	PT4	CCL13	Myeloid	842	3	0.35629453681710216	15	0.21213068442217797	0.3586023549550096	-0.1464716705328316	-1.3983300773345164	0.1607419629018549	0.18370510045926275
GSE293065	PT4	ACKR4	Osteoclast	842	0	0.0	13						
GSE293065	PT5	CCL13	Myeloid	1805	0	0.0	15						
GSE293065	PT5	ACKR4	Osteoclast	1805	2	0.110803324099723	13	0.713880947629432	0.575338186015325	0.13854276161410695	0.7802252706606576	0.30738463076846156	0.6147692615369231
GSE293065	PT6	CCL13	Myeloid	461	13	2.8199566160520604	15	0.6472085809874822	0.5481497161664324	0.09905886482104986	2.2470656713703887	0.024998750062496876	0.04999750012499375
GSE293065	PT6	ACKR4	Osteoclast	461	0	0.0	13						
GSE293065	PT7	CCL13	Myeloid	754	9	1.1936339522546418	15	1.7434712982356486	1.4949473383067966	0.248523959928852	2.038690481675383	0.03864806759662017	0.06183690815459227
GSE293065	PT7	ACKR4	Osteoclast	754	0	0.0	13						
GSE293065	PT8	CCL13	Myeloid	2191	18	0.8215426745778184	15	0.7600633393675724	0.7434254486572182	0.016637890710354264	0.32004923875728647	0.7452127393630319	0.7452127393630319
GSE293065	PT8	ACKR4	Osteoclast	2191	2	0.09128251939753537	13	0.7986014268493822	0.7124373988520797	0.0861640279973025	0.6674676904788686	0.5086745662716864	0.6782327550289152
GSE293065	PT9	CCL13	Myeloid	876	0	0.0	15						
GSE293065	PT9	ACKR4	Osteoclast	876	0	0.0	13						
GSE299025	PatientA	CCL13	Myeloid	3053	42	1.3756960366852276	15	0.8210091881364671	0.6787657677350941	0.14224342040137294	2.776490704623032	0.005649717514124294	0.022598870056497175
GSE299025	PatientA	ACKR4	Osteoclast	3053	8	0.26203734032099574	13	1.9176139198031121	2.1625522638749497	-0.24493834407183757	-1.3313483450414203	0.1896905154742263	0.6147692615369231
GSE299025	PatientB	CCL13	Myeloid	3020	78	2.5827814569536423	15	1.8216748285175692	1.705300867096844	0.11637396142072531	2.998891288683995	0.0030498475076246186	0.022598870056497175
GSE299025	PatientB	ACKR4	Osteoclast	3020	0	0.0	13						
