patient_id	published_lineage	gene	cells	mean_log_normalized_expression	percent_expressing
BC16	Chondroblastic_OS	TAC4	2	0	0
BC16	Chondroblastic_OS	TACR2	2	0	0
BC16	Chondroblastic_OS	CCL7	2	0	0
BC16	Chondroblastic_OS	CCL13	2	0	0
BC16	Chondroblastic_OS	CCL19	2	0	0
BC16	Chondroblastic_OS	ACKR4	2	0	0
BC16	Chondroblastic_OS	APOA1	2	0	0
BC16	Chondroblastic_OS	SCARB1	2	0.275617260107152	100
BC16	Chondroblastic_OS	LRP2	2	0	0
BC16	Chondroblastic_OS	GPC6	2	0	0
BC2	Chondroblastic_OS	TAC4	1	0	0
BC2	Chondroblastic_OS	TACR2	1	0	0
BC2	Chondroblastic_OS	CCL7	1	0	0
BC2	Chondroblastic_OS	CCL13	1	0	0
BC2	Chondroblastic_OS	CCL19	1	0	0
BC2	Chondroblastic_OS	ACKR4	1	0	0
BC2	Chondroblastic_OS	APOA1	1	0	0
BC2	Chondroblastic_OS	SCARB1	1	0	0
BC2	Chondroblastic_OS	LRP2	1	0	0
BC2	Chondroblastic_OS	GPC6	1	0	0
BC20	Chondroblastic_OS	TAC4	6969	0.289580808871805	29.5451284258861
BC20	Chondroblastic_OS	TACR2	6969	0.000531376223741151	0.114794088104463
BC20	Chondroblastic_OS	CCL7	6969	0.00654725719625073	0.559621179509255
BC20	Chondroblastic_OS	CCL13	6969	4.21297559750084e-05	0.0143492610130578
BC20	Chondroblastic_OS	CCL19	6969	0.000212357197462173	0.0286985220261157
BC20	Chondroblastic_OS	ACKR4	6969	0.000828095713964178	0.143492610130578
BC20	Chondroblastic_OS	APOA1	6969	0.00743037668372015	1.37752905725355
BC20	Chondroblastic_OS	SCARB1	6969	0.225769178156588	29.0572535514421
BC20	Chondroblastic_OS	LRP2	6969	0.00310412630933383	0.688764528626776
BC20	Chondroblastic_OS	GPC6	6969	0.0352963558041606	6.11278519156263
BC21	Chondroblastic_OS	TAC4	1	0	0
BC21	Chondroblastic_OS	TACR2	1	0	0
BC21	Chondroblastic_OS	CCL7	1	0	0
BC21	Chondroblastic_OS	CCL13	1	0	0
BC21	Chondroblastic_OS	CCL19	1	0	0
BC21	Chondroblastic_OS	ACKR4	1	0	0
BC21	Chondroblastic_OS	APOA1	1	0	0
