patient_id	lineage	gene	cells	mean_expression	percent_expressing
OS_1	B_Plasma	CCL7	19	0	0
OS_1	B_Plasma	CCL13	19	0	0
OS_1	B_Plasma	CCL19	19	0	0
OS_1	B_Plasma	ACKR4	19	0	0
OS_1	B_Plasma	CCR9	19	0	0
OS_1	B_Plasma	TAC4	19	0	0
OS_1	B_Plasma	TACR2	19	0	0
OS_2	B_Plasma	CCL7	22	0	0
OS_2	B_Plasma	CCL13	22	0	0
OS_2	B_Plasma	CCL19	22	0	0
OS_2	B_Plasma	ACKR4	22	0	0
OS_2	B_Plasma	CCR9	22	0	0
OS_2	B_Plasma	TAC4	22	0	0
OS_2	B_Plasma	TACR2	22	0	0
OS_3	B_Plasma	CCL7	14	0	0
OS_3	B_Plasma	CCL13	14	0	0
OS_3	B_Plasma	CCL19	14	0	0
OS_3	B_Plasma	ACKR4	14	0	0
OS_3	B_Plasma	CCR9	14	0	0
OS_3	B_Plasma	TAC4	14	0	0
OS_3	B_Plasma	TACR2	14	0	0
OS_4	B_Plasma	CCL7	128	0	0
OS_4	B_Plasma	CCL13	128	0	0
OS_4	B_Plasma	CCL19	128	0.0226554546994806	0.78125
OS_4	B_Plasma	ACKR4	128	0	0
OS_4	B_Plasma	CCR9	128	0	0
OS_4	B_Plasma	TAC4	128	0	0
OS_4	B_Plasma	TACR2	128	0	0
OS_5	B_Plasma	CCL7	16	0	0
OS_5	B_Plasma	CCL13	16	0	0
OS_5	B_Plasma	CCL19	16	0	0
OS_5	B_Plasma	ACKR4	16	0	0
OS_5	B_Plasma	CCR9	16	0	0
OS_5	B_Plasma	TAC4	16	0	0
OS_5	B_Plasma	TACR2	16	0	0
OS_6	B_Plasma	CCL7	1054	0.000613872190636	0.189753320683112
OS_6	B_Plasma	CCL13	1054	0	0
OS_6	B_Plasma	CCL19	1054	0.00228885398699918	0.189753320683112
OS_6	B_Plasma	ACKR4	1054	0	0
OS_6	B_Plasma	CCR9	1054	0	0
OS_6	B_Plasma	TAC4	1054	0.00224958257212891	0.094876660341556
OS_6	B_Plasma	TACR2	1054	0	0
OS_6	Chondroblastic_OS	CCL7	1568	0.000355362299103846	0.127551020408163
OS_6	Chondroblastic_OS	CCL13	1568	0	0
OS_6	Chondroblastic_OS	CCL19	1568	0.00153686096636952	0.0637755102040816
OS_6	Chondroblastic_OS	ACKR4	1568	0.00178034204528603	0.446428571428571
OS_6	Chondroblastic_OS	CCR9	1568	0	0
OS_6	Chondroblastic_OS	TAC4	1568	0.00824103450473738	2.10459183673469
OS_6	Chondroblastic_OS	TACR2	1568	0	0
OS_1	Endothelial	CCL7	37	0	0
OS_1	Endothelial	CCL13	37	0	0
OS_1	Endothelial	CCL19	37	0	0
OS_1	Endothelial	ACKR4	37	0	0
OS_1	Endothelial	CCR9	37	0	0
OS_1	Endothelial	TAC4	37	0	0
OS_1	Endothelial	TACR2	37	0	0
OS_2	Endothelial	CCL7	242	0	0
OS_2	Endothelial	CCL13	242	0	0
