repeat	model	auc	brier
0	clinical	0.5454545454545454	0.18986719954273343
0	clinical_pair	0.6489510489510489	0.17896683510390352
0	clinical_lineages	0.5979020979020979	0.19115889762661523
0	clinical_lineages_pair	0.6923076923076923	0.18012596659952876
1	clinical	0.4818181818181818	0.200128251726815
1	clinical_pair	0.5867132867132867	0.18664016968078923
1	clinical_lineages	0.5167832167832167	0.20695566678525465
1	clinical_lineages_pair	0.6251748251748251	0.19045371791968216
2	clinical	0.5230769230769231	0.19174267761617103
2	clinical_pair	0.606993006993007	0.18349530167127656
2	clinical_lineages	0.5482517482517483	0.19920175920580444
2	clinical_lineages_pair	0.6671328671328671	0.1869990020073661
3	clinical	0.5125874125874126	0.19296338282341366
3	clinical_pair	0.613986013986014	0.18596050987380336
3	clinical_lineages	0.5202797202797202	0.20789955248945405
3	clinical_lineages_pair	0.627972027972028	0.1929881605382718
4	clinical	0.3958041958041958	0.20670931500890413
4	clinical_pair	0.5412587412587412	0.19453720968655716
4	clinical_lineages	0.47342657342657346	0.20802992976384518
4	clinical_lineages_pair	0.6167832167832168	0.1924685898240609
5	clinical	0.4643356643356643	0.19690698844009583
5	clinical_pair	0.5776223776223776	0.1864441259736683
5	clinical_lineages	0.5153846153846153	0.2033834025731123
5	clinical_lineages_pair	0.6174825174825175	0.1894915742457151
6	clinical	0.5398601398601399	0.19030522959629734
6	clinical_pair	0.6293706293706294	0.18024287192979915
6	clinical_lineages	0.5853146853146853	0.19642400676664615
6	clinical_lineages_pair	0.6552447552447552	0.18569242199986702
7	clinical	0.48951048951048953	0.19459292742768028
7	clinical_pair	0.6090909090909091	0.18267170586638595
7	clinical_lineages	0.5601398601398602	0.1968381149427545
7	clinical_lineages_pair	0.644055944055944	0.1858344363010045
8	clinical	0.4426573426573426	0.1991917690985914
8	clinical_pair	0.5216783216783216	0.1961527421634542
8	clinical_lineages	0.5048951048951049	0.20047841206774744
8	clinical_lineages_pair	0.5783216783216782	0.19551163253384382
9	clinical	0.3979020979020979	0.20138600749849753
9	clinical_pair	0.5734265734265735	0.18904908799394637
9	clinical_lineages	0.479020979020979	0.20490884175534851
9	clinical_lineages_pair	0.6384615384615384	0.18605684669862227
10	clinical	0.46923076923076923	0.1970007333627491
10	clinical_pair	0.5986013986013986	0.18482540314657378
10	clinical_lineages	0.5034965034965035	0.20401467662846925
10	clinical_lineages_pair	0.6153846153846154	0.19069807843744324
11	clinical	0.46363636363636357	0.19866156286605885
11	clinical_pair	0.5902097902097901	0.18980009559712505
11	clinical_lineages	0.5335664335664336	0.20058413787374244
11	clinical_lineages_pair	0.6328671328671329	0.1923011898648694
12	clinical	0.5454545454545455	0.1883850389529767
12	clinical_pair	0.6069930069930071	0.18711666828779006
12	clinical_lineages	0.6083916083916083	0.19606531651859493
12	clinical_lineages_pair	0.6566433566433566	0.19596053936095725
13	clinical	0.4769230769230769	0.1966478439389153
13	clinical_pair	0.5783216783216782	0.1854235767236403
13	clinical_lineages	0.49580419580419577	0.1985701809180624
13	clinical_lineages_pair	0.6468531468531469	0.17985130929182008
14	clinical	0.4685314685314685	0.19423014692690077
14	clinical_pair	0.6125874125874127	0.18592264477318485
14	clinical_lineages	0.5825174825174825	0.19295598848382262
14	clinical_lineages_pair	0.6552447552447552	0.18304565446895857
15	clinical	0.5377622377622377	0.18955686103919214
15	clinical_pair	0.6482517482517482	0.17728463606716788
15	clinical_lineages	0.5937062937062937	0.1906464270875667
15	clinical_lineages_pair	0.7076923076923077	0.1748046650725405
16	clinical	0.5286713286713287	0.1913839594469353
16	clinical_pair	0.586013986013986	0.19482294105516995
16	clinical_lineages	0.4657342657342657	0.23422831589650278
16	clinical_lineages_pair	0.5545454545454546	0.22781911329119103
17	clinical	0.4482517482517483	0.19775892643877113
17	clinical_pair	0.5979020979020979	0.18690536019345955
17	clinical_lineages	0.49650349650349646	0.21172883097761866
17	clinical_lineages_pair	0.6244755244755245	0.20439762460407743
18	clinical	0.5153846153846153	0.19182068633703803
18	clinical_pair	0.6111888111888112	0.1825284631809191
18	clinical_lineages	0.567132867132867	0.19513417931541027
18	clinical_lineages_pair	0.6608391608391608	0.18675238554614162
19	clinical	0.3832167832167832	0.2115706561145104
19	clinical_pair	0.5468531468531468	0.1986376003567469
19	clinical_lineages	0.46853146853146854	0.20911750471101073
19	clinical_lineages_pair	0.6251748251748253	0.19220674230385212
20	clinical	0.4951048951048951	0.19382722402173755
20	clinical_pair	0.6223776223776223	0.18369864043835468
20	clinical_lineages	0.5804195804195804	0.19367305309855776
20	clinical_lineages_pair	0.679020979020979	0.18093522231037215
21	clinical	0.49860139860139857	0.19721046417399307
21	clinical_pair	0.5748251748251748	0.1891072845231137
21	clinical_lineages	0.5048951048951048	0.20366255330933225
21	clinical_lineages_pair	0.581118881118881	0.200586935527839
22	clinical	0.4713286713286713	0.19567910403049596
22	clinical_pair	0.6083916083916084	0.18541394159126076
22	clinical_lineages	0.5286713286713287	0.2036750643789161
22	clinical_lineages_pair	0.679020979020979	0.1949675641395707
23	clinical	0.4909090909090909	0.19627831321107073
23	clinical_pair	0.5188811188811189	0.20906280400443206
23	clinical_lineages	0.5664335664335665	0.1958901382672425
23	clinical_lineages_pair	0.6293706293706294	0.19987265947338517
24	clinical	0.5475524475524476	0.19043454908248256
24	clinical_pair	0.6272727272727273	0.18384316741096807
24	clinical_lineages	0.5874125874125874	0.18989960856665214
24	clinical_lineages_pair	0.6755244755244755	0.1834825873112784
25	clinical	0.4566433566433566	0.19973562699774008
25	clinical_pair	0.5741258741258741	0.1889148446489044
