cohort	patient	gene	state	n_cells	positive_cells	pct_positive
GSE152048	BC16	CCL13	Endothelial	55	0	0.0
GSE152048	BC16	CCL13	Fibroblast_MSC	570	0	0.0
GSE152048	BC16	CCL13	Myeloid	202	0	0.0
GSE152048	BC16	CCL13	Osteoclast	167	1	0.5988023952095809
GSE152048	BC16	CCL13	Pericyte	186	0	0.0
GSE152048	BC16	CCL13	T_NK	1185	28	2.3628691983122363
GSE152048	BC16	CCL13	Tumor_mesenchymal	635	2	0.31496062992125984
GSE152048	BC2	CCL13	Endothelial	1	0	0.0
GSE152048	BC2	CCL13	Fibroblast_MSC	10	0	0.0
GSE152048	BC2	CCL13	Myeloid	2228	125	5.6104129263913824
GSE152048	BC2	CCL13	Osteoclast	145	2	1.3793103448275863
GSE152048	BC2	CCL13	T_NK	232	3	1.293103448275862
GSE152048	BC2	CCL13	Tumor_mesenchymal	384	7	1.8229166666666667
GSE152048	BC21	CCL13	Fibroblast_MSC	1	0	0.0
GSE152048	BC21	CCL13	Myeloid	49	1	2.0408163265306123
GSE152048	BC21	CCL13	Osteoclast	615	0	0.0
GSE152048	BC21	CCL13	Pericyte	205	0	0.0
GSE152048	BC21	CCL13	T_NK	1289	31	2.404965089216447
GSE152048	BC21	CCL13	Tumor_mesenchymal	841	5	0.5945303210463734
GSE152048	BC22	CCL13	Endothelial	11	0	0.0
GSE152048	BC22	CCL13	Fibroblast_MSC	1486	5	0.3364737550471063
GSE152048	BC22	CCL13	Myeloid	44	2	4.545454545454546
GSE152048	BC22	CCL13	Osteoclast	354	3	0.847457627118644
GSE152048	BC22	CCL13	Pericyte	185	1	0.5405405405405406
GSE152048	BC22	CCL13	T_NK	237	15	6.329113924050633
GSE152048	BC22	CCL13	Tumor_mesenchymal	683	29	4.24597364568082
GSE152048	BC3	CCL13	Fibroblast_MSC	10	0	0.0
GSE152048	BC3	CCL13	Myeloid	1047	0	0.0
GSE152048	BC3	CCL13	Osteoclast	100	0	0.0
GSE152048	BC3	CCL13	Pericyte	2	0	0.0
GSE152048	BC3	CCL13	T_NK	514	0	0.0
GSE152048	BC3	CCL13	Tumor_mesenchymal	1327	8	0.6028636021100227
GSE152048	BC5	CCL13	Fibroblast_MSC	9	0	0.0
GSE152048	BC5	CCL13	Myeloid	1732	3	0.17321016166281755
GSE152048	BC5	CCL13	Osteoclast	32	0	0.0
GSE152048	BC5	CCL13	Pericyte	4	0	0.0
GSE152048	BC5	CCL13	T_NK	230	0	0.0
GSE152048	BC5	CCL13	Tumor_mesenchymal	993	4	0.4028197381671702
GSE152048	BC6	CCL13	Myeloid	24	0	0.0
GSE152048	BC6	CCL13	Osteoclast	27	0	0.0
GSE152048	BC6	CCL13	Pericyte	4	0	0.0
GSE152048	BC6	CCL13	T_NK	574	4	0.6968641114982579
GSE152048	BC6	CCL13	Tumor_mesenchymal	2371	51	2.1509911429776465
GSE152048	BC16	CCL19	Endothelial	55	0	0.0
GSE152048	BC16	CCL19	Fibroblast_MSC	570	2	0.3508771929824561
GSE152048	BC16	CCL19	Myeloid	202	0	0.0
GSE152048	BC16	CCL19	Osteoclast	167	0	0.0
GSE152048	BC16	CCL19	Pericyte	186	7	3.763440860215054
GSE152048	BC16	CCL19	T_NK	1185	20	1.6877637130801686
GSE152048	BC16	CCL19	Tumor_mesenchymal	635	1	0.15748031496062992
GSE152048	BC2	CCL19	Endothelial	1	0	0.0
GSE152048	BC2	CCL19	Fibroblast_MSC	10	0	0.0
GSE152048	BC2	CCL19	Myeloid	2228	21	0.9425493716337522
GSE152048	BC2	CCL19	Osteoclast	145	0	0.0
GSE152048	BC2	CCL19	T_NK	232	0	0.0
GSE152048	BC2	CCL19	Tumor_mesenchymal	384	1	0.26041666666666663
GSE152048	BC21	CCL19	Fibroblast_MSC	1	0	0.0
GSE152048	BC21	CCL19	Myeloid	49	0	0.0
GSE152048	BC21	CCL19	Osteoclast	615	0	0.0
GSE152048	BC21	CCL19	Pericyte	205	9	4.390243902439024
GSE152048	BC21	CCL19	T_NK	1289	11	0.8533747090768037
GSE152048	BC21	CCL19	Tumor_mesenchymal	841	1	0.11890606420927466
GSE152048	BC22	CCL19	Endothelial	11	0	0.0
GSE152048	BC22	CCL19	Fibroblast_MSC	1486	3	0.2018842530282638
GSE152048	BC22	CCL19	Myeloid	44	1	2.272727272727273
GSE152048	BC22	CCL19	Osteoclast	354	0	0.0
GSE152048	BC22	CCL19	Pericyte	185	3	1.6216216216216217
GSE152048	BC22	CCL19	T_NK	237	1	0.42194092827004215
GSE152048	BC22	CCL19	Tumor_mesenchymal	683	10	1.4641288433382138
GSE152048	BC3	CCL19	Fibroblast_MSC	10	0	0.0
GSE152048	BC3	CCL19	Myeloid	1047	0	0.0
GSE152048	BC3	CCL19	Osteoclast	100	0	0.0
GSE152048	BC3	CCL19	Pericyte	2	0	0.0
GSE152048	BC3	CCL19	T_NK	514	0	0.0
GSE152048	BC3	CCL19	Tumor_mesenchymal	1327	0	0.0
GSE152048	BC5	CCL19	Fibroblast_MSC	9	0	0.0
GSE152048	BC5	CCL19	Myeloid	1732	10	0.5773672055427251
GSE152048	BC5	CCL19	Osteoclast	32	0	0.0
GSE152048	BC5	CCL19	Pericyte	4	0	0.0
GSE152048	BC5	CCL19	T_NK	230	1	0.43478260869565216
GSE152048	BC5	CCL19	Tumor_mesenchymal	993	6	0.6042296072507553
GSE152048	BC6	CCL19	Myeloid	24	1	4.166666666666666
GSE152048	BC6	CCL19	Osteoclast	27	0	0.0
GSE152048	BC6	CCL19	Pericyte	4	0	0.0
GSE152048	BC6	CCL19	T_NK	574	4	0.6968641114982579
GSE152048	BC6	CCL19	Tumor_mesenchymal	2371	8	0.3374103753690426
GSE152048	BC16	CCL20	Endothelial	55	12	21.818181818181817
GSE152048	BC16	CCL20	Fibroblast_MSC	570	7	1.2280701754385965
GSE152048	BC16	CCL20	Myeloid	202	4	1.9801980198019802
GSE152048	BC16	CCL20	Osteoclast	167	17	10.179640718562874
GSE152048	BC16	CCL20	Pericyte	186	6	3.225806451612903
GSE152048	BC16	CCL20	T_NK	1185	59	4.9789029535864975
GSE152048	BC16	CCL20	Tumor_mesenchymal	635	7	1.1023622047244095
