cohort	section	gene	n_spots	positive_spots	pct_positive
GSE293065	PT1	CCL13	829	0	0.0
GSE293065	PT1	CCL19	829	0	0.0
GSE293065	PT1	CCL20	829	2	0.24125452352231602
GSE293065	PT1	CCL21	829	1	0.12062726176115801
GSE293065	PT1	CCL22	829	2	0.24125452352231602
GSE293065	PT1	CCL25	829	0	0.0
GSE293065	PT1	ACKR4	829	0	0.0
GSE293065	PT2	CCL13	712	3	0.42134831460674155
GSE293065	PT2	CCL19	712	1	0.1404494382022472
GSE293065	PT2	CCL20	712	2	0.2808988764044944
GSE293065	PT2	CCL21	712	84	11.797752808988763
GSE293065	PT2	CCL22	712	0	0.0
GSE293065	PT2	CCL25	712	2	0.2808988764044944
GSE293065	PT2	ACKR4	712	0	0.0
GSE293065	PT3	CCL13	1190	30	2.5210084033613445
GSE293065	PT3	CCL19	1190	4	0.33613445378151263
GSE293065	PT3	CCL20	1190	9	0.7563025210084033
GSE293065	PT3	CCL21	1190	0	0.0
GSE293065	PT3	CCL22	1190	3	0.25210084033613445
GSE293065	PT3	CCL25	1190	4	0.33613445378151263
GSE293065	PT3	ACKR4	1190	1	0.08403361344537816
GSE293065	PT4	CCL13	842	3	0.35629453681710216
GSE293065	PT4	CCL19	842	1	0.11876484560570072
GSE293065	PT4	CCL20	842	2	0.23752969121140144
GSE293065	PT4	CCL21	842	1	0.11876484560570072
GSE293065	PT4	CCL22	842	6	0.7125890736342043
GSE293065	PT4	CCL25	842	0	0.0
GSE293065	PT4	ACKR4	842	0	0.0
GSE293065	PT5	CCL13	1805	0	0.0
GSE293065	PT5	CCL19	1805	0	0.0
GSE293065	PT5	CCL20	1805	0	0.0
GSE293065	PT5	CCL21	1805	103	5.706371191135734
GSE293065	PT5	CCL22	1805	0	0.0
GSE293065	PT5	CCL25	1805	0	0.0
GSE293065	PT5	ACKR4	1805	2	0.110803324099723
GSE293065	PT6	CCL13	461	13	2.8199566160520604
GSE293065	PT6	CCL19	461	5	1.0845986984815619
GSE293065	PT6	CCL20	461	10	2.1691973969631237
GSE293065	PT6	CCL21	461	0	0.0
GSE293065	PT6	CCL22	461	1	0.21691973969631237
GSE293065	PT6	CCL25	461	2	0.43383947939262474
GSE293065	PT6	ACKR4	461	0	0.0
GSE293065	PT7	CCL13	754	9	1.1936339522546418
GSE293065	PT7	CCL19	754	7	0.9283819628647214
GSE293065	PT7	CCL20	754	1	0.1326259946949602
GSE293065	PT7	CCL21	754	6	0.7957559681697612
GSE293065	PT7	CCL22	754	1	0.1326259946949602
GSE293065	PT7	CCL25	754	1	0.1326259946949602
GSE293065	PT7	ACKR4	754	0	0.0
GSE293065	PT8	CCL13	2191	18	0.8215426745778184
GSE293065	PT8	CCL19	2191	88	4.016430853491556
GSE293065	PT8	CCL20	2191	6	0.27384755819260614
GSE293065	PT8	CCL21	2191	5	0.22820629849383844
GSE293065	PT8	CCL22	2191	34	1.5518028297581012
GSE293065	PT8	CCL25	2191	12	0.5476951163852123
GSE293065	PT8	ACKR4	2191	2	0.09128251939753537
GSE293065	PT9	CCL13	876	0	0.0
GSE293065	PT9	CCL19	876	2	0.228310502283105
GSE293065	PT9	CCL20	876	1	0.1141552511415525
GSE293065	PT9	CCL21	876	0	0.0
GSE293065	PT9	CCL22	876	1	0.1141552511415525
GSE293065	PT9	CCL25	876	3	0.3424657534246575
GSE293065	PT9	ACKR4	876	0	0.0
GSE299025	PatientA	CCL13	3053	42	1.3756960366852276
GSE299025	PatientA	CCL19	3053	7	0.22928267278087125
GSE299025	PatientA	CCL20	3053	57	1.8670160497870947
GSE299025	PatientA	CCL21	3053	14	0.4585653455617425
GSE299025	PatientA	CCL22	3053	13	0.4258106780216181
GSE299025	PatientA	CCL25	3053	6	0.1965280052407468
GSE299025	PatientA	ACKR4	3053	8	0.26203734032099574
GSE299025	PatientB	CCL13	3020	78	2.5827814569536423
GSE299025	PatientB	CCL19	3020	45	1.490066225165563
GSE299025	PatientB	CCL20	3020	20	0.6622516556291391
GSE299025	PatientB	CCL21	3020	0	0.0
GSE299025	PatientB	CCL22	3020	6	0.1986754966887417
GSE299025	PatientB	CCL25	3020	2	0.06622516556291391
GSE299025	PatientB	ACKR4	3020	0	0.0
